codigo;NUTS III;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
altominho;Alto Minho; 11.648,0; 12.361,4; 11.932,2; 11.852,7; 12.555,9; 12.739,5; 12.946,4; 13.737,2; 14.614,2; 15.547,7;16.169,2
cavado;Cavado; 12.761,1; 12.934,1; 12.727,2; 12.542,8; 12.919,8; 13.422,4; 13.985,4; 14.953,0; 15.889,5; 16.766,5;17.464,8
ave;Ave; 11.715,1; 12.302,3; 12.244,1; 12.376,6; 12.848,5; 13.451,4; 14.414,7; 15.060,9; 15.701,6; 16.739,0;17.403,5
porto;AM Porto; 15.341,5; 15.774,0; 15.494,9; 14.965,2; 15.222,7; 15.746,8; 16.469,2; 17.223,1; 18.225,1; 19.183,7;19.889,2
altotamega;Alto Tamega; 10.579,5; 10.914,2; 10.851,6; 10.405,6; 11.185,4; 10.868,2; 11.002,2; 11.671,3; 12.042,2; 12.590,6;13.155,6
tamegasousa;Tamega e Sousa; 9.577,4; 9.939,8; 9.870,7; 9.633,2; 9.967,1; 10.291,3; 10.765,1; 11.196,3; 11.568,6; 12.136,6;12.654,4
douro;Douro; 10.967,4; 11.529,5; 11.556,8; 11.264,8; 11.701,4; 12.064,0; 12.443,9; 13.121,8; 13.410,4; 14.460,8;15.088,0
trasosmontes;Tras-os-Montes; 12.553,5; 13.127,7; 13.124,1; 11.951,4; 12.415,4; 13.172,4; 13.606,5; 14.044,2; 13.592,9; 15.405,9;15.904,0
oeste;Oeste; 13.539,5; 13.496,7; 13.013,1; 12.739,6; 13.108,1; 13.398,0; 13.978,4; 14.701,2; 15.467,0; 16.179,0;16.944,4
aveiro;Aveiro; 15.383,2; 15.676,9; 15.406,2; 15.050,4; 15.320,3; 15.880,8; 16.866,6; 17.724,1; 18.696,6; 19.759,2;20.470,8
coimbra;Coimbra; 14.962,1; 15.538,0; 15.261,8; 14.588,7; 14.825,7; 14.970,8; 15.952,2; 16.525,0; 17.247,0; 18.348,3;19.234,7
leiria;Leiria; 16.209,5; 16.347,4; 16.187,6; 15.598,0; 16.042,5; 16.580,1; 17.197,0; 17.983,7; 18.922,7; 19.637,0;20.396,1
viseu;Viseu Dao Lafoes; 12.323,1; 12.481,0; 12.263,0; 12.176,3; 12.502,2; 12.465,5; 13.010,3; 13.456,5; 14.108,0; 14.954,8;15.612,2
beirabaixa;Beira Baixa; 13.986,1; 14.938,3; 14.896,9; 15.441,2; 15.260,6; 15.428,0; 16.150,0; 16.341,6; 17.041,0; 17.551,3;18.419,1
mediotejo;Medio Tejo; 13.612,6; 14.036,4; 13.812,3; 13.275,4; 13.464,6; 13.713,6; 14.224,7; 14.984,4; 15.625,5; 16.201,0;16.733,5
beiras;Beiras e Serra da Estrela; 10.153,5; 10.554,2; 10.512,6; 10.188,7; 10.600,3; 10.972,1; 11.653,8; 12.127,1; 12.933,3; 13.649,5;14.330,5
lisboa;AM Lisboa; 23.726,0; 24.057,3; 23.485,3; 22.152,0; 22.380,4; 22.485,0; 23.087,5; 23.763,6; 24.883,9; 25.916,4;26.890,7
alentejolitoral;Alentejo Litoral; 18.666,3; 21.471,5; 21.205,5; 19.851,7; 19.148,1; 19.817,7; 24.835,8; 24.228,9; 26.414,2; 25.428,4;25.303,9
baixoalentejo;Baixo Alentejo; 15.124,6; 15.866,3; 15.748,2; 15.479,9; 15.712,1; 16.222,0; 16.904,7; 17.155,7; 18.593,2; 19.502,0;19.973,2
leziria;Leziria do Tejo; 14.861,5; 14.923,1; 14.367,6; 13.735,5; 13.919,1; 14.232,9; 14.922,9; 15.626,7; 16.439,9; 16.898,3;17.460,4
altoalentejo;Alto Alentejo; 12.367,0; 12.586,1; 12.480,2; 11.775,6; 12.209,3; 12.891,1; 13.597,5; 14.150,8; 14.693,4; 15.493,5;16.195,6
alentejocentral;Alentejo Central; 14.220,4; 14.756,7; 14.617,4; 13.956,6; 14.130,1; 14.390,2; 15.156,3; 15.746,8; 16.992,8; 17.989,9;18.812,0
algarve;Algarve; 16.928,1; 16.873,1; 16.441,8; 16.091,1; 16.339,2; 16.991,7; 17.842,5; 19.261,6; 20.937,1; 22.150,9;23.157,4
acores;Acores; 15.005,8; 15.375,2; 15.071,4; 14.429,5; 14.759,1; 14.928,6; 15.542,1; 16.181,9; 16.807,2; 17.606,6;18.404,7
madeira;Madeira; 16.341,8; 16.577,0; 16.685,9; 15.408,8; 15.802,5; 16.162,7; 16.746,6; 17.514,7; 18.787,0; 19.438,4;19.950,6
